True,Pred,Text
早期,中期,虢叔作叔殷㝅尊鬲。
早期,中期,寧肁其作乙考尊𣪕，其用各百神用綏多福，世孫子寶。
早期,中期,隹五月乙亥，相侯休于厥臣殳，賜帛、金。殳揚侯休，告于文考，用作尊𣪕。其萬年□待□□侯。
早期,中期,隹九月既生霸，公令𫜞從□友□炎身，𫜞既告於公。休亡䀑。敢對揚厥休，用作辛公寶尊彝。用夙夕配宗。子子孫孫，其萬年永寶。
晚期,早期,"唯正月初吉庚午，余受此于之玄孫,聖𬰟公𬌨擇其吉金，玄鏐鈍鋁，自作𬯫鼓，命从若敳，遠淑聞于王東吳谷，逆于徐人、陳人，却蔡于寺，其神其臭，□□□□□□□□□□□□□□□，以攴野于陳□□山之下。余持可參□□，其□鼓茯茯，乃于之雩，永祀是抈。俳公獲飛龍，曰夜白，□□□□□□，余以共旒示□帝庶子，余以享同姓九礼，以飤大夫、朋友，余以宅東土，至于淮之上，世□萬子孫永保。"
早期,中期,翏作北子柞𣪕，用興厥祖父日乙，其萬年子子孫孫永寶。
晚期,中期,唯王正月，辰才甲午，王曰：𬹜，命汝𤔲成周里人，眔諸侯、大亞，訊訟罰。取徵五鋝，賜汝夷臣十家，用事。𬹜拜𩒨首，對揚王休命，用作寶𣪕，其子子孫孫寶用。
晚期,中期,唯五月既生霸庚寅，弭叔作叔班旅盨，其子子孫孫永寶用。
晚期,中期,"初吉甲戌,王命□周，王若曰：“𬙜甥...... 𬙜甥拜手稽首，敢對揚王休，𬙜甥用作穆公大林鐘，用降多福，用喜侃前文人，用祈康𬋴、純魯，用受。"
早期,晚期,唯八月，初吉庚申，楚子𬥢鑄其飤簠，子孫永保之。
晚期,中期,唯二月戊寅，白庶父作王姑凡姜尊𣪕，其永寶用。
晚期,早期,唯八月既生霸庚申，辛□□胃□[UNK-10167-0]□ [UNK-10167-1]，䜌伯方□邑，印𫠤山，賜三國，□入吳，□□□亟斿西□，鼎立，□邑百，□鋚金，自作浣盤，其萬年眉壽，黃耇，子子孫孫，寶用於新邑。
中期,晚期,宮令宰僕賜甹白金十鈞，甹敢拜稽首。
中期,晚期,𫪨作尊𣪘，其壽考寶用。
中期,晚期,大司馬昭陽敗晉師於襄陵之歲，夏𫵖之月，乙亥之日。王處於𦸗郢之遊宮。大工尹脽以王命，命集尹怊𬖡、織尹逆、織𪵍𨸔，為鄂君啟之府就鑄金節，車五十乘，歲贏返。毋載金、革、篃、箭，如馬、如牛、如特，屯十以當一車。如擔徒，屯廿擔以當一車，以毀於五十乘之中。自鄂市，就陽丘、就方城、就象禾、就柳棼、就繁陽、就高丘、就下蔡、就居巢、就郢。見其金節，則毋徵，毋捨饌飤。不見其金節則徵。
中期,晚期,大司馬昭陽敗晉師於襄陵之歲，夏𫵖之月，乙亥之日。王處於𦸗郢之遊宮。大工尹脽以王命，命集尹怊𬖡、織尹逆、織𪵍𨸔，為鄂君啟之府就鑄金節，屯三舟為一舸，五十舸。歲贏返。自鄂市，逾淯，上漢，就榖，就鄖陽，逾漢，就襄，逾夏，入溳，逾江，就彭澤，就樅陽，入瀘江。就爰陵，上江，入湘，就䁋，就洮陽，入㵢，就郴，入資、沅、澧、油，上江。就木關，就郢。見其金節，則毋徵，毋捨饌飤。不見其金節則徵。如載馬、牛、羊，以出入關，則徵於太府，毋徵於關。1. 117011.斷代：战国晚期2.釋文：十五年，守相廉頗、邦右庫工師韓亥、冶巡撻劑，大工尹公孫桴。2. 117021.斷代：战国晚期2.釋文：十五年，守相埶、廉頗、邦左庫工師采䧞、冶句𪯎劑，大工尹公孫桴。
早期,晚期,邕子良人擇其吉金，自作飤甗，其萬年無疆，其子子孫永壽用之。
晚期,中期,隹四月初吉，王才屖宮，宰屖父佑害立，王冊命害，曰：賜汝賁朱衡，玄衣黹純、㫃、鋚勒，賜戈琱胾、彤蘇，用籑乃祖考事。官𤔲夷僕、小射、底魚，害𩒨首，對揚王休命，用作文考寶𣪘，其孫孫子子永寶用。
晚期,早期,㠱伯子𫳙父，作其征盨，其陰其陽，以𨒌以行，匄眉壽無疆，慶其以臧。
早期,中期,唯十又九年，王才斥，王姜令乍册睘安尸伯，尸伯儐睘貝，布，揚王姜休用，作文考癸寶尊器。
早期,中期,乙亥，王有大禮，王凡三方，王祀於天室，降，天亡宥王，衣祀於王丕顯考文王，事饎上帝，文王監在上，丕顯王則省，丕肆王則庸，丕克訖殷王祀，丁丑，王饗，大宜，王降亡嘉爵、退囊，唯朕有蔑，敏啓王休於尊𣪕。
早期,晚期,伯椃作厥宮室寶𣪘，用追孝於厥皇考，唯用祓萬年，孫孫子子永寶。
晚期,中期,唯十又六年，九月初吉庚寅，王在周康剌宫，王乎士曶召克，王親令克，遹涇東至于京師，賜克佃車、馬乘，克不敢墜，溥奠王命，克敢對揚天子休，用作朕皇祖考伯寶林鐘，用匄純嘏、永命，克其萬年，子子孫孫永寶。
晚期,早期,天尹作元弄。
晚期,中期,唯王元年，四月既生霸，王在淢㡴，甲寅，王各廟，即位，遟公入佑師𬀈，即立中廷，王乎作册尹册命師𬀈，曰：備于大左，官𤔲豐還，佐佑師氏，賜汝赤芾、𡀸衡、麗鞶，敬夙夕用事，𬀈拜𩒨首，敢對揚天子丕顯魯休命，用作朕文祖益仲尊𣪕，其萬年，子子孫孫永寶用。
中期,晚期,𦎫不淑，[UNK-05392-0]乃邦，烏乎，𫌻帝家，以寡子作永寶，子
